"filename", "language", "SCSS", "PHP", "JavaScript", "HTML", "JSON", "vue", "comment", "blank", "total"
"c:\laragon\www\telexperticia\resources\sass\components\_popover.scss", "SCSS", 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\laragon\www\telexperticia\resources\sass\components\_profile.scss", "SCSS", 145, 0, 0, 0, 0, 0, 2, 1, 148
"c:\laragon\www\telexperticia\resources\sass\components\_tables.scss", "SCSS", 53, 0, 0, 0, 0, 0, 1, 2, 56
"c:\laragon\www\telexperticia\resources\sass\components\_timeline.scss", "SCSS", 94, 0, 0, 0, 0, 0, 0, 9, 103
"c:\laragon\www\telexperticia\resources\sass\components\email\_email-compose.scss", "SCSS", 90, 0, 0, 0, 0, 0, 0, 7, 97
"c:\laragon\www\telexperticia\resources\sass\components\email\_email-read.scss", "SCSS", 158, 0, 0, 0, 0, 0, 0, 6, 164
"c:\laragon\www\telexperticia\resources\sass\components\email\_inbox.scss", "SCSS", 358, 0, 0, 0, 0, 0, 1, 3, 362
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_ace.scss", "SCSS", 9, 0, 0, 0, 0, 0, 1, 1, 11
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_apex-charts.scss", "SCSS", 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_bootstrap-datepicker.scss", "SCSS", 177, 0, 0, 0, 0, 0, 1, 23, 201
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_data-tables.scss", "SCSS", 53, 0, 0, 0, 0, 0, 0, 1, 54
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_dropify.scss", "SCSS", 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_dropzone.scss", "SCSS", 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_full-calendar.scss", "SCSS", 238, 0, 0, 0, 0, 0, 0, 2, 240
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_jquery-flot.scss", "SCSS", 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_peity.scss", "SCSS", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_perfect-scrollbar.scss", "SCSS", 40, 0, 0, 0, 0, 0, 0, 0, 40
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_select2.scss", "SCSS", 81, 0, 0, 0, 0, 0, 1, 2, 84
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_simplemde.scss", "SCSS", 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_sweet-alert.scss", "SCSS", 58, 0, 0, 0, 0, 0, 1, 8, 67
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_tags-input.scss", "SCSS", 24, 0, 0, 0, 0, 0, 1, 3, 28
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_tempusdominus-bootstrap-4.scss", "SCSS", 37, 0, 0, 0, 0, 0, 1, 1, 39
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_tinymce.scss", "SCSS", 81, 0, 0, 0, 0, 0, 0, 2, 83
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_typeahead.scss", "SCSS", 55, 0, 0, 0, 0, 0, 1, 10, 66
"c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_wizard.scss", "SCSS", 88, 0, 0, 0, 0, 0, 2, 3, 93
"c:\laragon\www\telexperticia\resources\sass\mixins\_animation.scss", "SCSS", 92, 0, 0, 0, 0, 0, 1, 11, 104
"c:\laragon\www\telexperticia\resources\sass\mixins\_badges.scss", "SCSS", 4, 0, 0, 0, 0, 0, 2, 1, 7
"c:\laragon\www\telexperticia\resources\sass\mixins\_blockquote.scss", "SCSS", 6, 0, 0, 0, 0, 0, 1, 1, 8
"c:\laragon\www\telexperticia\resources\sass\mixins\_breadcrumbs.scss", "SCSS", 13, 0, 0, 0, 0, 0, 1, 3, 17
"c:\laragon\www\telexperticia\resources\sass\mixins\_buttons.scss", "SCSS", 56, 0, 0, 0, 0, 0, 0, 5, 61
"c:\laragon\www\telexperticia\resources\sass\mixins\_cards.scss", "SCSS", 5, 0, 0, 0, 0, 0, 1, 1, 7
"c:\laragon\www\telexperticia\resources\sass\mixins\_misc.scss", "SCSS", 58, 0, 0, 0, 0, 0, 9, 5, 72
"c:\laragon\www\telexperticia\resources\sass\mixins\_no_ui_slider.scss", "SCSS", 19, 0, 0, 0, 0, 0, 1, 4, 24
"c:\laragon\www\telexperticia\resources\sass\mixins\_pagination.scss", "SCSS", 17, 0, 0, 0, 0, 0, 1, 0, 18
"c:\laragon\www\telexperticia\resources\sass\mixins\_popovers.scss", "SCSS", 40, 0, 0, 0, 0, 0, 1, 1, 42
"c:\laragon\www\telexperticia\resources\sass\mixins\_tooltips.scss", "SCSS", 26, 0, 0, 0, 0, 0, 1, 1, 28
"c:\laragon\www\telexperticia\resources\sass\mixins\_width.scss", "SCSS", 64, 0, 0, 0, 0, 0, 2, 17, 83
"c:\laragon\www\telexperticia\resources\views\app\active_logs\index.blade.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 7, 58
"c:\laragon\www\telexperticia\resources\views\app\doctors\create.blade.php", "PHP", 0, 75, 0, 0, 0, 0, 0, 6, 81
"c:\laragon\www\telexperticia\resources\views\app\doctors\edit.blade.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 9, 87
"c:\laragon\www\telexperticia\resources\views\app\doctors\form-inputs.blade.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 14, 80
"c:\laragon\www\telexperticia\resources\views\app\doctors\index.blade.php", "PHP", 0, 144, 0, 0, 0, 0, 0, 8, 152
"c:\laragon\www\telexperticia\resources\views\app\doctors\show.blade.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\laragon\www\telexperticia\resources\views\app\gparameters\create.blade.php", "PHP", 0, 71, 0, 0, 0, 0, 0, 8, 79
"c:\laragon\www\telexperticia\resources\views\app\gparameters\edit.blade.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 7, 73
"c:\laragon\www\telexperticia\resources\views\app\gparameters\form-inputs.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 3, 42
"c:\laragon\www\telexperticia\resources\views\app\gparameters\index.blade.php", "PHP", 0, 121, 0, 0, 0, 0, 2, 19, 142
"c:\laragon\www\telexperticia\resources\views\app\gparameters\show.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 6, 45
