Date : 2021-06-01 01:31:50
Directory : c:\laragon\www\telexperticia
Total : 2246 files,  337091 codes, 37413 comments, 36099 blanks, all 410603 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\laragon\www\telexperticia\resources\sass\_variables.scss                                                          | SCSS         |         14 |          3 |          3 |         20 |
| c:\laragon\www\telexperticia\resources\sass\app.scss                                                                 | SCSS         |          3 |          3 |          3 |          9 |
| c:\laragon\www\telexperticia\resources\sass\components\_accordions.scss                                              | SCSS         |         58 |          1 |          1 |         60 |
| c:\laragon\www\telexperticia\resources\sass\components\_auth.scss                                                    | SCSS         |          7 |          0 |          0 |          7 |
| c:\laragon\www\telexperticia\resources\sass\components\_badges.scss                                                  | SCSS         |          8 |          3 |          1 |         12 |
| c:\laragon\www\telexperticia\resources\sass\components\_bootstrap-alert.scss                                         | SCSS         |         30 |          1 |          4 |         35 |
| c:\laragon\www\telexperticia\resources\sass\components\_breadcrumbs.scss                                             | SCSS         |         41 |          1 |          2 |         44 |
| c:\laragon\www\telexperticia\resources\sass\components\_buttons.scss                                                 | SCSS         |        164 |          9 |         16 |        189 |
| c:\laragon\www\telexperticia\resources\sass\components\_cards.scss                                                   | SCSS         |         90 |          1 |          8 |         99 |
| c:\laragon\www\telexperticia\resources\sass\components\_chat.scss                                                    | SCSS         |        251 |          0 |          1 |        252 |
| c:\laragon\www\telexperticia\resources\sass\components\_checkbox-radio.scss                                          | SCSS         |        228 |          1 |         14 |        243 |
| c:\laragon\www\telexperticia\resources\sass\components\_dashboard.scss                                               | SCSS         |         53 |          1 |          3 |         57 |
| c:\laragon\www\telexperticia\resources\sass\components\_dropdown.scss                                                | SCSS         |         58 |          1 |          3 |         62 |
| c:\laragon\www\telexperticia\resources\sass\components\_faq.scss                                                     | SCSS         |          0 |          0 |          1 |          1 |
| c:\laragon\www\telexperticia\resources\sass\components\_forms.scss                                                   | SCSS         |         58 |          1 |          4 |         63 |
| c:\laragon\www\telexperticia\resources\sass\components\_icons.scss                                                   | SCSS         |         67 |          1 |         11 |         79 |
| c:\laragon\www\telexperticia\resources\sass\components\_input-group.scss                                             | SCSS         |         19 |          0 |          0 |         19 |
| c:\laragon\www\telexperticia\resources\sass\components\_list-group.scss                                              | SCSS         |          5 |          0 |          0 |          5 |
| c:\laragon\www\telexperticia\resources\sass\components\_modal.scss                                                   | SCSS         |         15 |          1 |          1 |         17 |
| c:\laragon\www\telexperticia\resources\sass\components\_nav.scss                                                     | SCSS         |         62 |          0 |          0 |         62 |
| c:\laragon\www\telexperticia\resources\sass\components\_pagination.scss                                              | SCSS         |         58 |          0 |          1 |         59 |
| c:\laragon\www\telexperticia\resources\sass\components\_popover.scss                                                 | SCSS         |          8 |          0 |          0 |          8 |
| c:\laragon\www\telexperticia\resources\sass\components\_profile.scss                                                 | SCSS         |        145 |          2 |          1 |        148 |
| c:\laragon\www\telexperticia\resources\sass\components\_tables.scss                                                  | SCSS         |         53 |          1 |          2 |         56 |
| c:\laragon\www\telexperticia\resources\sass\components\_timeline.scss                                                | SCSS         |         94 |          0 |          9 |        103 |
| c:\laragon\www\telexperticia\resources\sass\components\email\_email-compose.scss                                     | SCSS         |         90 |          0 |          7 |         97 |
| c:\laragon\www\telexperticia\resources\sass\components\email\_email-read.scss                                        | SCSS         |        158 |          0 |          6 |        164 |
| c:\laragon\www\telexperticia\resources\sass\components\email\_inbox.scss                                             | SCSS         |        358 |          1 |          3 |        362 |
| c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_ace.scss                                    | SCSS         |          9 |          1 |          1 |         11 |
| c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_apex-charts.scss                            | SCSS         |         12 |          0 |          1 |         13 |
| c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_bootstrap-datepicker.scss                   | SCSS         |        177 |          1 |         23 |        201 |
| c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_data-tables.scss                            | SCSS         |         53 |          0 |          1 |         54 |
| c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_dropify.scss                                | SCSS         |         14 |          0 |          0 |         14 |
| c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_dropzone.scss                               | SCSS         |         17 |          0 |          0 |         17 |
| c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_full-calendar.scss                          | SCSS         |        238 |          0 |          2 |        240 |
| c:\laragon\www\telexperticia\resources\sass\components\plugin-overrides\_jquery-flot.scss                            | SCSS         |         29 |          0 |          1 |         30 |
