Date : 2021-06-01 01:31:50
Directory : c:\laragon\www\telexperticia
Total : 2246 files,  337091 codes, 37413 comments, 36099 blanks, all 410603 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\gherkin.js                                    | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\gitignore.js                                  | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\glsl.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\gobstones.js                                  | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\golang.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\graphqlschema.js                              | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\groovy.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\haml.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\handlebars.js                                 | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\haskell.js                                    | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\haskell_cabal.js                              | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\haxe.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\hjson.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\html.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\html_elixir.js                                | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\html_ruby.js                                  | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\ini.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\io.js                                         | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\jack.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\jade.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\java.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\javascript.js                                 | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\json.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\json5.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\jsoniq.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\jsp.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\jssm.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\jsx.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\julia.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\kotlin.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\latex.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\less.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\liquid.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\lisp.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\livescript.js                                 | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\logiql.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\logtalk.js                                    | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\lsl.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\lua.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\luapage.js                                    | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\lucene.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\makefile.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\markdown.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\mask.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\matlab.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\maze.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\mediawiki.js                                  | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\mel.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\mixal.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\mushcode.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\mysql.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\nginx.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\nim.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\nix.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\nsis.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\nunjucks.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\objectivec.js                                 | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\ocaml.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\pascal.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\perl.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\perl6.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\pgsql.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\php.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\php_laravel_blade.js                          | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\pig.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\plain_text.js                                 | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\powershell.js                                 | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\praat.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\prisma.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\prolog.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\properties.js                                 | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\protobuf.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\puppet.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\python.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\qml.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\r.js                                          | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\razor.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\rdoc.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\red.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\redshift.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\rhtml.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\rst.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\ruby.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\rust.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\sass.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\scad.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\scala.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\scheme.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\scss.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\sh.js                                         | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\sjs.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\slim.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\smarty.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\snippets.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\soy_template.js                               | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\space.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\sparql.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\sql.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\sqlserver.js                                  | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\stylus.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\svg.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\swift.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\tcl.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\terraform.js                                  | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\tex.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\text.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\textile.js                                    | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\toml.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\tsx.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\turtle.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\twig.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\typescript.js                                 | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\vala.js                                       | JavaScript   |          1 |          7 |          0 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\vbscript.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\velocity.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\verilog.js                                    | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\vhdl.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\visualforce.js                                | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\wollok.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\xml.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\xquery.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\yaml.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\snippets\zeek.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-ambiance.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-chaos.js                                         | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-chrome.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-clouds.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-clouds_midnight.js                               | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-cobalt.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-crimson_editor.js                                | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-dawn.js                                          | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-dracula.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-dreamweaver.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-eclipse.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-github.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-gob.js                                           | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-gruvbox.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-idle_fingers.js                                  | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-iplastic.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-katzenmilch.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-kr_theme.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-kuroir.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-merbivore.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-merbivore_soft.js                                | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-mono_industrial.js                               | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-monokai.js                                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-nord_dark.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-pastel_on_dark.js                                | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-solarized_dark.js                                | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-solarized_light.js                               | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-sqlserver.js                                     | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-terminal.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-textmate.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-tomorrow.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-tomorrow_night.js                                | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-tomorrow_night_blue.js                           | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-tomorrow_night_bright.js                         | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-tomorrow_night_eighties.js                       | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-twilight.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-vibrant_ink.js                                   | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\theme-xcode.js                                         | JavaScript   |          7 |          0 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\worker-coffee.js                                       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\worker-css.js                                          | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\worker-html.js                                         | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\worker-javascript.js                                   | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\worker-json.js                                         | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\worker-lua.js                                          | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\worker-php.js                                          | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\worker-xml.js                                          | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\worker-xquery.js                                       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\animate-css\animate.min.css                                       | CSS          |          2 |          7 |          2 |         11 |
| c:\laragon\www\telexperticia\public\assets\plugins\apexcharts\apexcharts.min.js                                      | JavaScript   |          3 |         11 |          1 |         15 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-colorpicker\bootstrap-colorpicker.min.css               | CSS          |          1 |          9 |          1 |         11 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-colorpicker\bootstrap-colorpicker.min.js                | JavaScript   |          1 |          9 |          0 |         10 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\bootstrap-datepicker.min.css                 | CSS          |          1 |          5 |          1 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\bootstrap-datepicker.min.js                  | JavaScript   |          2 |          5 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\css\bootstrap-datepicker.css                 | CSS          |        470 |          6 |          1 |        477 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\css\bootstrap-datepicker.min.css             | CSS          |          1 |          5 |          1 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\css\bootstrap-datepicker.standalone.css      | CSS          |        503 |          6 |          1 |        510 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\css\bootstrap-datepicker.standalone.min.css  | CSS          |          1 |          5 |          1 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\css\bootstrap-datepicker3.css                | CSS          |        676 |          6 |          1 |        683 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\css\bootstrap-datepicker3.min.css            | CSS          |          1 |          5 |          1 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\css\bootstrap-datepicker3.standalone.css     | CSS          |        705 |          6 |          1 |        712 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\css\bootstrap-datepicker3.standalone.min.css | CSS          |          1 |          5 |          1 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\js\bootstrap-datepicker.js                   | JavaScript   |      1,770 |         90 |        180 |      2,040 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\js\bootstrap-datepicker.min.js               | JavaScript   |          2 |          5 |          1 |          8 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker-en-CA.min.js    | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.ar-tn.min.js    | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.ar.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.az.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.bg.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.bm.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.bn.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.br.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.bs.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.ca.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.cs.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.cy.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.da.min.js       | JavaScript   |          1 |          0 |          0 |          1 |
