"filename", "language", "SCSS", "JavaScript", "PHP", "HTML", "JSON", "vue", "Markdown", "CSS", "Makefile", "Shell Script", "YAML", "Less", "Ignore", "CoffeeScript", "XML", "comment", "blank", "total"
"c:\laragon\www\telexperticia\database\seeders\PermissionsSeeder.php", "PHP", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 87
"c:\laragon\www\telexperticia\database\seeders\ReportSeeder.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 22
"c:\laragon\www\telexperticia\database\seeders\SpecialtySeeder.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 40
"c:\laragon\www\telexperticia\database\seeders\UserSeeder.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 22
"c:\laragon\www\telexperticia\package.json", "JSON", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"c:\laragon\www\telexperticia\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"c:\laragon\www\telexperticia\public\assets\fonts\feather-font\css\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 2, 276, 569
"c:\laragon\www\telexperticia\public\assets\fonts\feather-font\examples\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 1, 58, 377
"c:\laragon\www\telexperticia\public\assets\fonts\feather-font\examples\index.html", "HTML", 0, 0, 0, 1391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 280, 1671
"c:\laragon\www\telexperticia\public\assets\fonts\feather-font\fonts\feather.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 295, 3, 552, 850
"c:\laragon\www\telexperticia\public\assets\fonts\overpass\demo.html", "HTML", 0, 0, 0, 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 363
"c:\laragon\www\telexperticia\public\assets\fonts\overpass\stylesheet.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"c:\laragon\www\telexperticia\public\assets\images\404.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, 1, 1, 252
"c:\laragon\www\telexperticia\public\assets\js\ace.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\laragon\www\telexperticia\public\assets\js\apexcharts.js", "JavaScript", 0, 541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 37, 598
"c:\laragon\www\telexperticia\public\assets\js\bootstrap-colorpicker.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\laragon\www\telexperticia\public\assets\js\bootstrap-maxlength.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\laragon\www\telexperticia\public\assets\js\carousel-rtl.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103
"c:\laragon\www\telexperticia\public\assets\js\carousel.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 98
"c:\laragon\www\telexperticia\public\assets\js\chartjs.js", "JavaScript", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 267
"c:\laragon\www\telexperticia\public\assets\js\chat.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
